#{"t_start": 1619005243.977142, "env_id": "MotorTiming-v0"}
r,l,t
37.0,944,101.967868
40.0,971,104.603925
39.0,1015,587.973848
40.0,1082,594.50682
40.0,1063,597.384327
40.0,1614,605.722387
40.0,1669,614.900379
40.0,1630,619.486018
39.0,1740,628.34147
39.0,1779,637.11831
40.0,960,643.7268
40.0,1005,646.606456
39.0,1027,653.327763
40.0,1081,656.342201
39.0,1067,663.438892
39.0,1616,672.364892
40.0,1633,677.053695
39.0,1676,685.875739
40.0,1724,694.588972
40.0,1765,703.620271
40.0,931,706.15105
36.0,924,712.521368
39.0,1023,715.37224
38.0,1007,722.142664
36.0,1071,728.961972
40.0,1590,733.291937
36.0,1587,741.418669
37.0,1632,749.638107
40.0,1679,759.23025
40.0,1715,768.623545
40.0,886,771.142145
40.0,929,777.612882
40.0,987,780.303992
38.0,996,786.876375
38.0,1038,789.816051
38.0,1593,798.293932
36.0,1638,806.499188
40.0,1622,810.962528
39.0,1672,819.492473
39.0,1704,827.945658
39.0,914,833.938096
39.0,1002,836.628774
40.0,976,843.451728
38.0,1009,846.504456
39.0,1124,853.975901
40.0,1605,858.363033
38.0,1658,866.757772
40.0,1636,875.236739
38.0,1656,885.313638
39.0,1692,894.63504
39.0,903,897.129305
40.0,1012,904.052192
40.0,1008,906.973511
38.0,1060,913.979564
40.0,1123,917.131403
40.0,1636,925.318967
40.0,1609,933.668686
40.0,1656,942.053051
40.0,1722,950.438621
40.0,1760,959.132385
39.0,925,961.840858
40.0,975,964.668518
40.0,1011,971.645583
39.0,1044,978.36854
40.0,1065,981.374961
40.0,1584,989.665322
40.0,1608,998.148928
40.0,1678,1002.840902
40.0,1735,1011.693643
38.0,1734,1020.438421
40.0,910,1026.952449
38.0,1008,1029.818537
40.0,1023,1036.229237
39.0,1078,1039.171891
39.0,1125,1045.802513
40.0,1626,1054.134168
40.0,1645,1058.851624
38.0,1701,1067.236017
40.0,1710,1075.51901
38.0,1705,1084.012027
40.0,923,1086.619063
